station_id,station_name,month,climatology_tavg,climatology_sd,climatology_prcp
IN009010101,"HASKOTE, IN",1,,,0.3371428571428572
IN009010101,"HASKOTE, IN",2,,,0.43914285714285717
IN009010101,"HASKOTE, IN",3,,,0.9052173913043476
IN009010101,"HASKOTE, IN",4,,,3.076857142857142
IN009010101,"HASKOTE, IN",5,,,7.419714285714286
IN009010101,"HASKOTE, IN",6,,,5.318260869565218
IN009010101,"HASKOTE, IN",7,,,6.091142857142856
IN009010101,"HASKOTE, IN",8,,,7.665714285714286
IN009010101,"HASKOTE, IN",9,,,10.719428571428573
IN009010101,"HASKOTE, IN",10,,,11.51457142857143
IN009010101,"HASKOTE, IN",11,,,4.654285714285716
IN009010101,"HASKOTE, IN",12,,,0.9671428571428572
IN009010500,"ANEKAL, IN",1,,,0.41485714285714287
IN009010500,"ANEKAL, IN",2,,,0.5342857142857143
IN009010500,"ANEKAL, IN",3,,,0.6814492753623189
IN009010500,"ANEKAL, IN",4,,,3.469142857142857
IN009010500,"ANEKAL, IN",5,,,9.253999999999998
IN009010500,"ANEKAL, IN",6,,,4.772571428571427
IN009010500,"ANEKAL, IN",7,,,7.153142857142858
IN009010500,"ANEKAL, IN",8,,,9.074000000000003
IN009010500,"ANEKAL, IN",9,,,11.145999999999995
IN009010500,"ANEKAL, IN",10,,,12.308000000000003
IN009010500,"ANEKAL, IN",11,,,5.167714285714287
IN009010500,"ANEKAL, IN",12,,,1.2437142857142853
IN009011400,"VARTUR, IN",1,,,0.22666666666666668
IN009011400,"VARTUR, IN",2,,,0.0
IN009011400,"VARTUR, IN",3,,,0.0
IN009011400,"VARTUR, IN",4,,,0.8133333333333334
IN009011400,"VARTUR, IN",5,,,5.926
IN009011400,"VARTUR, IN",6,,,3.1059999999999994
IN009011400,"VARTUR, IN",7,,,3.536
IN009011400,"VARTUR, IN",8,,,6.140000000000001
IN009011400,"VARTUR, IN",9,,,8.526
IN009011400,"VARTUR, IN",10,,,11.778000000000002
IN009011400,"VARTUR, IN",11,,,3.810000000000001
IN009011400,"VARTUR, IN",12,,,0.52
IN009011801,"ATTIBELE, IN",1,,,0.0
IN009011801,"ATTIBELE, IN",2,,,0.3333333333333333
IN009011801,"ATTIBELE, IN",3,,,0.18999999999999997
IN009011801,"ATTIBELE, IN",4,,,1.7249999999999999
IN009011801,"ATTIBELE, IN",5,,,6.255
IN009011801,"ATTIBELE, IN",6,,,3.565
IN009011801,"ATTIBELE, IN",7,,,3.9883333333333337
IN009011801,"ATTIBELE, IN",8,,,4.68
IN009011801,"ATTIBELE, IN",9,,,7.788333333333331
IN009011801,"ATTIBELE, IN",10,,,8.688333333333333
IN009011801,"ATTIBELE, IN",11,,,2.533333333333333
IN009011801,"ATTIBELE, IN",12,,,0.44166666666666665
IN009012000,"YELAHANKA, IN",1,,,0.0
IN009012000,"YELAHANKA, IN",2,,,0.0
IN009012000,"YELAHANKA, IN",3,,,0.0075
IN009012000,"YELAHANKA, IN",4,,,2.197777777777778
IN009012000,"YELAHANKA, IN",5,,,3.886666666666667
IN009012000,"YELAHANKA, IN",6,,,3.4999999999999996
IN009012000,"YELAHANKA, IN",7,,,4.697500000000001
IN009012000,"YELAHANKA, IN",8,,,5.235
IN009012000,"YELAHANKA, IN",9,,,5.26
IN009012000,"YELAHANKA, IN",10,,,9.45142857142857
IN009012000,"YELAHANKA, IN",11,,,0.8375000000000001
IN009012000,"YELAHANKA, IN",12,,,0.5800000000000001
IN009012200,"KADGUDI KADGOD, IN",1,,,0.0
IN009012200,"KADGUDI KADGOD, IN",2,,,0.18235294117647058
IN009012200,"KADGUDI KADGOD, IN",3,,,0.475
IN009012200,"KADGUDI KADGOD, IN",4,,,1.992941176470588
IN009012200,"KADGUDI KADGOD, IN",5,,,6.6505882352941175
IN009012200,"KADGUDI KADGOD, IN",6,,,3.9437499999999996
IN009012200,"KADGUDI KADGOD, IN",7,,,5.624705882352941
IN009012200,"KADGUDI KADGOD, IN",8,,,8.061176470588236
IN009012200,"KADGUDI KADGOD, IN",9,,,10.22235294117647
IN009012200,"KADGUDI KADGOD, IN",10,,,14.101176470588236
IN009012200,"KADGUDI KADGOD, IN",11,,,4.855294117647058
IN009012200,"KADGUDI KADGOD, IN",12,,,1.023529411764706
IN009012800,"BANGALORE HINDUSTAN, IN",1,70.0751446288849,3.4045775640731937,0.2944827586206897
IN009012800,"BANGALORE HINDUSTAN, IN",2,74.1189758158508,2.5226371184956604,0.8823076923076922
IN009012800,"BANGALORE HINDUSTAN, IN",3,78.59987388250319,2.4193251058876553,0.7889655172413794
IN009012800,"BANGALORE HINDUSTAN, IN",4,81.26999284609992,2.5253862599370396,2.8709090909090906
IN009012800,"BANGALORE HINDUSTAN, IN",5,79.97276240567336,2.6366409460954316,9.243125
IN009012800,"BANGALORE HINDUSTAN, IN",6,76.60363113897596,2.932427259209613,5.887272727272728
IN009012800,"BANGALORE HINDUSTAN, IN",7,74.61036846080029,2.9931344484150757,7.3587878787878775
IN009012800,"BANGALORE HINDUSTAN, IN",8,74.79844019646887,2.708891021494921,9.387878787878787
IN009012800,"BANGALORE HINDUSTAN, IN",9,75.03157078520054,2.5075988548965156,11.924375
IN009012800,"BANGALORE HINDUSTAN, IN",10,75.00962127231315,2.6950263844399283,13.653939393939392
IN009012800,"BANGALORE HINDUSTAN, IN",11,72.47263756613756,2.7593531086364127,4.755151515151515
IN009012800,"BANGALORE HINDUSTAN, IN",12,70.75939749273786,2.748764340740512,1.4474999999999998
