station_id,year,num_anomalous_months
IN009010101,1901,0
IN009010101,1902,0
IN009010101,1903,0
IN009010101,1904,0
IN009010101,1905,0
IN009010101,1906,0
IN009010101,1907,0
IN009010101,1908,0
IN009010101,1909,0
IN009010101,1910,0
IN009010101,1911,0
IN009010101,1912,0
IN009010101,1913,0
IN009010101,1914,0
IN009010101,1915,0
IN009010101,1916,0
IN009010101,1917,0
IN009010101,1918,0
IN009010101,1919,0
IN009010101,1920,0
IN009010101,1921,0
IN009010101,1922,0
IN009010101,1923,0
IN009010101,1924,0
IN009010101,1925,0
IN009010101,1926,0
IN009010101,1927,0
IN009010101,1928,0
IN009010101,1929,0
IN009010101,1930,0
IN009010101,1931,0
IN009010101,1932,0
IN009010101,1933,0
IN009010101,1934,0
IN009010101,1935,0
IN009010101,1936,0
IN009010101,1937,0
IN009010101,1938,0
IN009010101,1939,0
IN009010101,1940,0
IN009010101,1941,0
IN009010101,1942,0
IN009010101,1943,0
IN009010101,1944,0
IN009010101,1945,0
IN009010101,1946,0
IN009010101,1947,0
IN009010101,1948,0
IN009010101,1949,0
IN009010101,1950,0
IN009010101,1951,0
IN009010101,1952,0
IN009010101,1953,0
IN009010101,1954,0
IN009010101,1955,0
IN009010101,1956,0
IN009010101,1957,0
IN009010101,1958,0
IN009010101,1959,0
IN009010101,1960,0
IN009010101,1961,0
IN009010101,1962,0
IN009010101,1963,0
IN009010101,1964,0
IN009010101,1965,0
IN009010101,1966,0
IN009010101,1967,0
IN009010101,1968,0
IN009010101,1969,0
IN009010101,1970,0
IN009010500,1901,0
IN009010500,1902,0
IN009010500,1903,0
IN009010500,1904,0
IN009010500,1905,0
IN009010500,1906,0
IN009010500,1907,0
IN009010500,1908,0
IN009010500,1909,0
IN009010500,1910,0
IN009010500,1911,0
IN009010500,1912,0
IN009010500,1913,0
IN009010500,1914,0
IN009010500,1915,0
IN009010500,1916,0
IN009010500,1917,0
IN009010500,1918,0
IN009010500,1919,0
IN009010500,1920,0
IN009010500,1921,0
IN009010500,1922,0
IN009010500,1923,0
IN009010500,1924,0
IN009010500,1925,0
IN009010500,1926,0
IN009010500,1927,0
IN009010500,1928,0
IN009010500,1929,0
IN009010500,1930,0
IN009010500,1931,0
IN009010500,1932,0
IN009010500,1933,0
IN009010500,1934,0
IN009010500,1935,0
IN009010500,1936,0
IN009010500,1937,0
IN009010500,1938,0
IN009010500,1939,0
IN009010500,1940,0
IN009010500,1941,0
IN009010500,1942,0
IN009010500,1943,0
IN009010500,1944,0
IN009010500,1945,0
IN009010500,1946,0
IN009010500,1947,0
IN009010500,1948,0
IN009010500,1949,0
IN009010500,1950,0
IN009010500,1951,0
IN009010500,1952,0
IN009010500,1953,0
IN009010500,1954,0
IN009010500,1955,0
IN009010500,1956,0
IN009010500,1957,0
IN009010500,1958,0
IN009010500,1959,0
IN009010500,1960,0
IN009010500,1961,0
IN009010500,1962,0
IN009010500,1963,0
IN009010500,1964,0
IN009010500,1965,0
IN009010500,1966,0
IN009010500,1967,0
IN009010500,1968,0
IN009010500,1969,0
IN009010500,1970,0
IN009011400,1952,0
IN009011400,1954,0
IN009011400,1955,0
IN009011400,1956,0
IN009011400,1957,0
IN009011400,1958,0
IN009011400,1960,0
IN009011400,1962,0
IN009011400,1963,0
IN009011400,1964,0
IN009011801,1957,0
IN009011801,1958,0
IN009011801,1959,0
IN009011801,1960,0
IN009011801,1961,0
IN009011801,1962,0
IN009011801,1963,0
IN009011801,1964,0
IN009011801,1965,0
IN009011801,1966,0
IN009011801,1967,0
IN009011801,1970,0
IN009012000,1952,0
IN009012000,1953,0
IN009012000,1954,0
IN009012000,1955,0
IN009012000,1956,0
IN009012000,1957,0
IN009012000,1958,0
IN009012000,1959,0
IN009012000,1960,0
IN009012200,1953,0
IN009012200,1954,0
IN009012200,1955,0
IN009012200,1956,0
IN009012200,1957,0
IN009012200,1958,0
IN009012200,1959,0
IN009012200,1960,0
IN009012200,1961,0
IN009012200,1962,0
IN009012200,1964,0
IN009012200,1965,0
IN009012200,1966,0
IN009012200,1967,0
IN009012200,1968,0
IN009012200,1969,0
IN009012200,1970,0
IN009012800,1942,0
IN009012800,1943,1
IN009012800,1944,0
IN009012800,1945,0
IN009012800,1949,0
IN009012800,1950,0
IN009012800,1951,0
IN009012800,1952,0
IN009012800,1953,0
IN009012800,1954,0
IN009012800,1955,0
IN009012800,1956,0
IN009012800,1957,0
IN009012800,1958,0
IN009012800,1959,0
IN009012800,1960,0
IN009012800,1961,0
IN009012800,1962,0
IN009012800,1963,0
IN009012800,1964,0
IN009012800,1965,0
IN009012800,1966,0
IN009012800,1967,0
IN009012800,1968,0
IN009012800,1969,0
IN009012800,1970,0
IN009012800,1973,0
IN009012800,1974,0
IN009012800,2008,0
IN009012800,2011,0
IN009012800,2012,0
IN009012800,2013,0
IN009012800,2014,4
IN009012800,2015,1
IN009012800,2016,0
IN009012800,2017,0
IN009012800,2018,0
IN009012800,2019,0
IN009012800,2020,0
IN009012800,2021,0
IN009012800,2022,0
IN009012800,2023,0
IN009012800,2024,0
